datetime,sender,message,date,time,hour,message_length
2023-12-25 09:30:00,Alice,Merry Christmas! ğŸ„ğŸ…,2023-12-25,09:30:00,9,19
2023-12-25 09:32:00,Bob,Merry Christmas to you too! Hope you're having a great day,2023-12-25,09:32:00,9,58
2023-12-25 09:35:00,Alice,Thanks! Opening presents with family right now Family time is the best â¤ï¸,2023-12-25,09:35:00,9,73
2023-12-25 10:15:00,Bob,That sounds wonderful! I'm cooking dinner for everyone today,2023-12-25,10:15:00,10,60
2023-12-25 10:16:00,Alice,<Media omitted>,2023-12-25,10:16:00,10,15
2023-12-25 10:17:00,Alice,Here's our Christmas tree!,2023-12-25,10:17:00,10,26
2023-12-25 11:30:00,Bob,Beautiful tree! ğŸ˜ Our dinner is almost ready,2023-12-25,11:30:00,11,44
2023-12-25 11:45:00,Alice,Can't wait to see photos!,2023-12-25,11:45:00,11,25
2023-12-25 14:30:00,Bob,<Media omitted>,2023-12-25,14:30:00,14,15
2023-12-25 14:31:00,Bob,Christmas dinner success! ğŸ½ï¸,2023-12-25,14:31:00,14,28
2023-12-25 14:45:00,Alice,Looks amazing! You're such a great cook,2023-12-25,14:45:00,14,39
2023-12-25 15:00:00,Bob,Thank you! Hope your day continues to be wonderful,2023-12-25,15:00:00,15,50
2023-12-25 15:15:00,Alice,It definitely will be! Thanks for sharing your day with me ğŸ˜Š,2023-12-25,15:15:00,15,60
2023-12-26 08:00:00,Alice,Good morning! How was your evening?,2023-12-26,08:00:00,8,35
2023-12-26 08:30:00,Bob,"Morning! It was great, played some games with the family",2023-12-26,08:30:00,8,56
2023-12-26 08:31:00,Bob,How about you?,2023-12-26,08:31:00,8,14
2023-12-26 09:00:00,Alice,Similar! We watched Christmas movies until late ğŸ¿,2023-12-26,09:00:00,9,49
2023-12-26 09:01:00,Alice,Perfect lazy Christmas evening,2023-12-26,09:01:00,9,30
2023-12-26 09:30:00,Bob,That sounds perfect! Which movies did you watch?,2023-12-26,09:30:00,9,48
2023-12-26 10:00:00,Alice,Home Alone and Elf - the classics! ğŸ˜„,2023-12-26,10:00:00,10,36
2023-12-26 10:15:00,Bob,Great choices! Those never get old,2023-12-26,10:15:00,10,34
2023-12-27 07:00:00,Alice,Happy Wednesday! Back to reality today ğŸ˜…,2023-12-27,07:00:00,7,40
2023-12-27 07:30:00,Bob,I know right! The holiday magic is over,2023-12-27,07:30:00,7,39
2023-12-27 07:31:00,Bob,But it was a great Christmas,2023-12-27,07:31:00,7,28
2023-12-27 08:00:00,Alice,Absolutely! Already looking forward to next year,2023-12-27,08:00:00,8,48
2023-12-27 08:01:00,Alice,Hope your day goes well!,2023-12-27,08:01:00,8,24
2023-12-27 08:15:00,Bob,You too! Talk to you later ğŸ‘‹,2023-12-27,08:15:00,8,28
